index,Gênero,Idoso,Parceiro,Dependentes,Fidelidade,Churn,Internet,Segurança Online,Backup Online,Proteção no Dispositivo,Suporte Técnico,TV a Cabo,Streaming de Filmes,Serviço Telefônico,Diversas Linhas de Telefone,Contrato,Fatura Online,Método de Pagamento,Despesa Mensal,Despesa Total,Gasto Diário
0,Female,0,Sim,Sim,9,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Um ano,Sim,Pagamento físico,65.6,593.3,1.98
1,Male,0,Não,Não,9,Não,DSL,Não,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Não,Pagamento físico,59.9,542.4,1.81
2,Male,0,Não,Não,4,Sim,Fibra ótica,Não,Não,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,73.9,280.85,1.87
3,Male,1,Sim,Não,13,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,98.0,1237.85,2.95
4,Female,1,Sim,Não,3,Sim,Fibra ótica,Não,Não,Não,Sim,Sim,Não,Sim,Não,Mensal,Sim,Pagamento físico,83.9,267.4,2.23
5,Female,0,Não,Sim,9,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Credit card (automatic),69.4,571.45,1.9
6,Female,1,Sim,Não,71,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Dois anos,Sim,Bank transfer (automatic),109.7,7904.25,3.66
7,Male,0,Sim,Não,63,Não,Fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Dois anos,Sim,Credit card (automatic),84.65,5377.8,2.8
8,Female,1,Não,Não,7,Não,DSL,Sim,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,48.2,340.35,1.42
9,Female,0,Sim,Sim,65,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Pagamento físico,90.45,5957.9,3.01
10,Male,0,Não,Não,54,Não,DSL,Sim,Não,Não,Sim,Sim,Não,Não,Sem serviço telefônico,Dois anos,Não,Credit card (automatic),45.2,2460.55,1.49
11,Female,0,Sim,Sim,72,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Credit card (automatic),116.8,8456.75,3.86
12,Female,0,Sim,Não,5,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,68.95,351.5,1.95
13,Female,0,Não,Não,72,Não,Fibra ótica,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),101.3,7261.25,3.32
14,Female,0,Não,Não,56,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Não,Sem serviço telefônico,Dois anos,Não,Bank transfer (automatic),45.05,2560.1,1.5
15,Female,0,Sim,Sim,71,Não,Fibra ótica,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Dois anos,Sim,Credit card (automatic),95.75,6849.4,3.17
16,Female,0,Sim,Sim,34,Não,DSL,Sim,Não,Sim,Sim,Sim,Sim,Não,Sem serviço telefônico,Um ano,Não,Pagamento físico,61.25,1993.2,1.9
17,Female,1,Não,Não,1,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,72.1,72.1,1.2
